,序号,区县,名   称,方向,相交道路,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,1.0,东城,东四十条张自忠口东,东向西,张自忠路,,,,,,
1,2.0,东城,安定门东滨河路,东向西,安定门东滨河路,,,,,,
2,3.0,东城,北京站西街北京站西过街天桥西,西向东,北京站西街,,,,,,
3,4.0,东城,东直门内大街234号门前,全方向,东直门内大街,,,,,,
4,5.0,东城,金宝街交通银行门前,全方向,金宝街,,,,,,
5,6.0,东城,北极阁三条西口,全方向,东单北大街,东单三条,,,,,
6,7.0,东城,东堂子胡同西口,全方向,东单北大街,,,,,,
7,8.0,东城,协和医院北,全方向,东单北大街,,,,,,
8,9.0,东城,东单路口,全方向,东单北大街,,,,,,
9,10.0,东城,建国门国旅大厦,全方向,金宝街,,,,,,
10,11.0,东城,东总部东口,全方向,建国门北大街,东总部胡同,,,,,
11,12.0,东城,朝内南小街南口,全方向,朝阳门南小街,,,,,,
12,13.0,东城,春雨胡同,全方向,春雨胡同,,,,,,
13,14.0,东城,金宝大厦,全方向,金宝街,,,,,,
14,15.0,东城,鑫海锦江大酒店,全方向,金宝街,,,,,,
15,16.0,东城,东城区政府中心,全方向,朝阳门南小街,金宝街,,,,,
16,17.0,东城,原盛胡同,全方向,金宝街,,,,,,
17,18.0,东城,北总部胡同北口,全方向,金宝街,,,,,,
18,19.0,东城,艺华胡同,全方向,金宝街,,,,,,
19,20.0,东城,东堂子胡同东口,全方向,朝阳门南小街,,,,,,
20,21.0,东城,建国门派出所门前,全方向,朝阳门南小街,,,,,,
21,22.0,东城,春松胡同南口东侧,全方向,金宝街,,,,,,
22,23.0,东城,北极阁头条好利来南侧,全方向,北极阁头条,,,,,,
23,24.0,东城,金宝街菜市场门前,全方向,金宝街,,,,,,
24,25.0,东城,金宝街交通银行对面,全方向,金宝街,,,,,,
25,26.0,东城,内务部街73号,全方向,东四南大街,,,,,,
26,27.0,东城,东城丽晶酒店,全方向,东单北大街,,,,,,
27,28.0,东城,朝内大街西口,全方向,朝阳门内大街,,,,,,
28,29.0,东城,朝阳门内大街中段,全方向,朝阳门内大街,,,,,,
29,30.0,东城,前拐棒胡同,全方向,朝阳门内大街,,,,,,
30,31.0,东城,朝阳门桥西南角,全方向,朝阳门南大街,,,,,,
31,32.0,东城,朝阳门南小街桥下,全方向,朝阳门南小街,,,,,,
32,33.0,东城,内务部街东口,全方向,朝阳门南小街,,,,,,
33,34.0,东城,干面胡同东口,全方向,朝阳门南小街,,,,,,
34,35.0,东城,东四清真寺东门口,全方向,东四南大街,,,,,,
35,36.0,东城,国家新闻发行署,全方向,东四南大街,,,,,,
36,37.0,东城,报房胡同东口,全方向,东四南大街,,,,,,
37,38.0,东城,东四美丽家园,全方向,朝阳门内大街,,,,,,
38,39.0,东城,朝阳门SOHO西南角,全方向,南竹竿胡同,南水关胡同,,,,,
39,40.0,东城,礼士胡同东口,全方向,朝阳门南小街,,,,,,
40,41.0,东城,盈地大厦门前,全方向,朝阳门内大街,,,,,,
41,42.0,东城,朝内外交服务局,全方向,朝阳门内大街,,,,,,
42,43.0,东城,南水关胡同北口,全方向,南水关胡同,,,,,,
43,44.0,东城,豆瓣胡同南口,全方向,豆瓣胡同,,,,,,
44,45.0,东城,礼士胡同西口,全方向,东单北大街,,,,,,
45,46.0,东城,国子监西口,全方向,安定门内大街,,,,,,
46,47.0,东城,安内106号门前,全方向,安定门东大街,安定门内大街,,,,,
47,48.0,东城,安内大药房门口,全方向,安定门内大街,,,,,,
48,49.0,东城,安内北京医药公司,全方向,安定门内大街,,,,,,
49,50.0,东城,分司厅胡同东口,全方向,安定门内大街,,,,,,
50,51.0,东城,安内静憩园宾馆,全方向,安定门内大街,,,,,,
51,52.0,东城,美术馆南门,全方向,五四大街,,,,,,
52,53.0,东城,北京中医院门口,全方向,美术馆后街,,,,,,
53,54.0,东城,隆福寺胡同西口,全方向,美术馆东街,,,,,,
54,55.0,东城,景山街道门口,全方向,美术馆东街,,,,,,
55,56.0,东城,北池子大街南口,全方向,北池子大街,,,,,,
56,57.0,东城,天伦松鹤酒店,全方向,灯市口大街,,,,,,
57,58.0,东城,贵宾楼北侧,全方向,霞公府街,晨光街,,,,,
58,59.0,东城,王府井大街路西,全方向,王府井大街,,,,,,
59,60.0,东城,王府井饭店门前,全方向,王府井大街,,,,,,
60,61.0,东城,灯市口西街东口,全方向,灯市口大街,,,,,,
61,62.0,东城,景山学校,全方向,灯市口大街,,,,,,
62,63.0,东城,东华门大街东口,全方向,东华门大街,,,,,,
63,64.0,东城,北池子大街96号门前,全方向,北池子大街,,,,,,
64,65.0,东城,北池子大街74号门前,全方向,北池子大街,,,,,,
65,66.0,东城,北池子大街64号门前,全方向,北池子大街,,,,,,
66,67.0,东城,美术馆路口东南,全方向,王府井大街,,,,,,
67,68.0,东城,北京人艺,全方向,王府井大街,,,,,,
68,69.0,东城,美术馆正门对面,全方向,五四大街,,,,,,
69,70.0,东城,黄图岗社区居民之家对面,全方向,灯市口西街,,,,,,
70,71.0,东城,台基厂南,全方向,祈年大街,,,,,,
71,72.0,东城,首都大酒店,全方向,前门大街,,,,,,
72,73.0,东城,新侨饭店,全方向,崇文门西大街,,,,,,
73,74.0,东城,祈年大街北口西,全方向,台基厂大街,,,,,,
74,75.0,东城,市局对面路南东侧,全方向,前门东大街,,,,,,
75,76.0,东城,正义路口西南,全方向,正义路,,,,,,
76,77.0,东城,首都大酒店南,全方向,前门东大街,,,,,,
77,78.0,东城,规划展览馆公交站,全方向,前门东大街,,,,,,
78,79.0,东城,市局对面路南,全方向,前门东大街,,,,,,
79,80.0,东城,前门2号通道东侧,全方向,前门东大街,,,,,,
80,81.0,东城,东工行银行门前,全方向,前门东大街,,,,,,
81,82.0,东城,东直门桥北天桥下,全方向,东直门北大街,,,,,,
82,83.0,东城,东直门交通枢纽东,全方向,东直门外斜街,,,,,,
83,84.0,东城,东直门交通枢纽南,全方向,东直门外斜街,东直门外大街,,,,,
84,85.0,东城,阳光都市西门出口,全方向,新中街,,,,,,
85,86.0,东城,龙潭湖二闸西,全方向,龙潭路,龙潭东路,,,,,
86,87.0,东城,龙潭湖公园西北门,全方向,龙潭路,左安门内大街,,,,,
87,88.0,西城,闹市口大街新文化街西口北,南向北,闹市口大街新,新文化街,,,,,
88,89.0,西城,宣武门内大街大方胡同西口,南向北,宣武门内大街,大方胡同西口,,,,,
89,90.0,西城,德胜门外大街辅路冰窖口胡同口北,北向南,德胜门外大街辅路,,,,,,
90,91.0,丰台,丽泽桥西,西向东,丰北路,,,,,,
91,92.0,丰台,万丰桥西,东向西,丰北路,,,,,,
92,93.0,丰台,丰北桥北,北向南,西四环,,,,,,
93,94.0,丰台,正阳大桥北,南向北,西四环,,,,,,
94,95.0,丰台,南站幸福路幸福四巷南口西,全方向,公交车进站路,,,,,,
95,96.0,丰台,南站幸福路幸福四巷南口,全方向,幸福里四巷南口,,,,,,
96,97.0,丰台,南站幸福路西口东,全方向,悦秀城南门,,,,,,
97,98.0,丰台,南站幸福路幸福二巷路口东,全方向,幸福里一巷南口,,,,,,
98,99.0,丰台,幸福二巷（原高法接待站）,全方向,幸福里三巷南口,,,,,,
99,100.0,丰台,南站北出口东北角朝出口方向,全方向,幸福路三巷南口,,,,,,
100,101.0,丰台,开阳路幸福街路口北,全方向,公交车专用道出入口,,,,,,
101,102.0,房山,东环路高教园一号路北,北向南,东环路,,,,,,
102,103.0,平谷,大龙环岛,东向西,平东路,府前西街,,,,,
103,104.0,平谷,大龙环岛,西向东,平东路,府前西街,,,,,
104,105.0,平谷,大龙环岛,南向北,平东路,府前西街,,,,,
105,106.0,平谷,大龙环岛,北向南,平东路,府前西街,,,,,
106,107.0,平谷,大马环岛,东向西,新平东路,府前街（西）旧城街（东）,,,,,
107,108.0,平谷,大马环岛,西向东,新平东路,府前街（西）旧城街（东）,,,,,
108,109.0,平谷,大马环岛,南向北,新平东路,府前街（西）旧城街（东）,,,,,
109,110.0,平谷,大马环岛,北向南,新平东路,府前街（西）旧城街（东）,,,,,
110,,,,,,,,,,,
111,,,,,,,,,,,
112,,,,,,,,,,,
113,,,,,,,,,,,
114,,,,,,,,,,,
115,,,,,,,,,,,
116,,,,,,,,,,,
117,,,,,,,,,,,
118,,,,,,,,,,,
119,,,,,,,,,,,
120,,,,,,,,,,,
121,,,,,,,,,,,
122,,,,,,,,,,,
123,,,,,,,,,,,
124,,,,,,,,,,,
125,,,,,,,,,,,
126,,,,,,,,,,,
127,,,,,,,,,,,
128,,,,,,,,,,,
129,,,,,,,,,,,
130,,,,,,,,,,,
131,,,,,,,,,,,
132,,,,,,,,,,,
133,,,,,,,,,,,
134,,,,,,,,,,,
135,,,,,,,,,,,
136,,,,,,,,,,,
137,,,,,,,,,,,
138,,,,,,,,,,,
139,,,,,,,,,,,
140,,,,,,,,,,,
141,,,,,,,,,,,
142,,,,,,,,,,,
143,,,,,,,,,,,
144,,,,,,,,,,,
145,,,,,,,,,,,
146,,,,,,,,,,,
147,,,,,,,,,,,
148,,,,,,,,,,,
149,,,,,,,,,,,
150,,,,,,,,,,,
151,,,,,,,,,,,
152,,,,,,,,,,,
153,,,,,,,,,,,
154,,,,,,,,,,,
155,,,,,,,,,,,
156,,,,,,,,,,,
157,,,,,,,,,,,
158,,,,,,,,,,,
159,,,,,,,,,,,
160,,,,,,,,,,,
161,,,,,,,,,,,
162,,,,,,,,,,,
163,,,,,,,,,,,
164,,,,,,,,,,,
165,,,,,,,,,,,
166,,,,,,,,,,,
167,,,,,,,,,,,
168,,,,,,,,,,,
169,,,,,,,,,,,
170,,,,,,,,,,,
171,,,,,,,,,,,
172,,,,,,,,,,,
173,,,,,,,,,,,
174,,,,,,,,,,,
